query,intent,sentiment,detected_intent,detected_sentiment,summary
healthcare feedback exceeded all of my expectations,healthcare_feedback,positive,healthcare_feedback,positive,Praising healthcare service exceeding expectations
my experience with location inquiry was terrible,location_inquiry,negative,location_inquiry,negative,Bad experience with location inquiry
i absolutely love how transportation complaint works for me,transportation_complaint,positive,express_satisfaction,positive,User expresses satisfaction with transportation complaint process
i couldnt be happier with service feedback,service_feedback,positive,service_feedback,positive,Customer is extremely satisfied with service
food review is simply amazing and very reliable,food_review,positive,entertainment_review,positive,The food is excellent and trustworthy.
kudos to the team behind payment inquiry,payment_inquiry,positive,express_appreciation,positive,Expressing appreciation for a team's work in payment inquiry
could you explain how facility feedback works,facility_feedback,neutral,facility_feedback,neutral,Request for clarification on facility feedback process
service inquiry was a complete disaster and waste of time,service_inquiry,negative,service_inquiry,negative,Customer expresses frustration with their service inquiry experience
the quality of educational feedback is outstanding,educational_feedback,positive,educational_feedback,positive,The educational feedback received is excellent
i absolutely love how service feedback works for me,service_feedback,positive,express_appreciation,positive,Customer appreciates service feedback feature
could you explain how shipping inquiry works,shipping_inquiry,neutral,schedule_inquiry,neutral,Request for information on how to initiate or process a shipping inquiry
where can i learn about location inquiry,location_inquiry,neutral,location_inquiry,neutral,Seeking information on how to inquire about locations
